,albumin,hemoglobin,wbc,hematocrit,crp,platelet,neutrophil,lymphocyte
albumin,1.0,0.040021292042400465,-0.019473228647019003,0.05323843668088354,0.02055996552791503,0.14295678071250664,-0.021574366160238837,-0.0177608228655026
hemoglobin,0.040021292042400465,1.0,-0.004292038496613609,0.9056181230339332,0.26059410189138926,0.20962985442998566,0.28539560417261384,-0.05087770099050712
wbc,-0.019473228647019003,-0.004292038496613609,1.0,0.011960348214498078,-0.23959879844404963,-0.12254509538202556,0.07523201598603199,-0.13417821063937455
hematocrit,0.05323843668088354,0.9056181230339332,0.011960348214498078,1.0,0.12982131422553847,0.2529215045792705,0.2538343563143123,-0.011070099161213431
crp,0.02055996552791503,0.26059410189138926,-0.23959879844404963,0.12982131422553847,1.0,0.06451053758560425,0.2990583427777945,-0.13017088271010538
platelet,0.14295678071250664,0.20962985442998566,-0.12254509538202556,0.2529215045792705,0.06451053758560425,1.0,0.3471444179324714,-0.020443537212734605
neutrophil,-0.021574366160238837,0.28539560417261384,0.07523201598603199,0.2538343563143123,0.2990583427777945,0.3471444179324714,1.0,-0.1311335450528412
lymphocyte,-0.0177608228655026,-0.05087770099050712,-0.13417821063937455,-0.011070099161213431,-0.13017088271010538,-0.020443537212734605,-0.1311335450528412,1.0
